msa_id,msa_name,state,year,quarter,date,hpi_index
10180,"Abilene, TX",TX,2000,1,2000-03-31,114.48
10180,"Abilene, TX",TX,2000,2,2000-06-30,114.11
10180,"Abilene, TX",TX,2000,3,2000-09-30,115.67
10180,"Abilene, TX",TX,2000,4,2000-12-31,118.6
10180,"Abilene, TX",TX,2001,1,2001-03-31,118.74
10180,"Abilene, TX",TX,2001,2,2001-06-30,120.25
10180,"Abilene, TX",TX,2001,3,2001-09-30,119.12
10180,"Abilene, TX",TX,2001,4,2001-12-31,123.57
10180,"Abilene, TX",TX,2002,1,2002-03-31,122.91
10180,"Abilene, TX",TX,2002,2,2002-06-30,121.85
10180,"Abilene, TX",TX,2002,3,2002-09-30,123.54
10180,"Abilene, TX",TX,2002,4,2002-12-31,127.17
10180,"Abilene, TX",TX,2003,1,2003-03-31,126.5
10180,"Abilene, TX",TX,2003,2,2003-06-30,127.39
10180,"Abilene, TX",TX,2003,3,2003-09-30,128.06
10180,"Abilene, TX",TX,2003,4,2003-12-31,126.48
10180,"Abilene, TX",TX,2004,1,2004-03-31,130.37
10180,"Abilene, TX",TX,2004,2,2004-06-30,132.22
10180,"Abilene, TX",TX,2004,3,2004-09-30,133.59
10180,"Abilene, TX",TX,2004,4,2004-12-31,134.89
10180,"Abilene, TX",TX,2005,1,2005-03-31,137.42
10180,"Abilene, TX",TX,2005,2,2005-06-30,142.31
10180,"Abilene, TX",TX,2005,3,2005-09-30,142.86
10180,"Abilene, TX",TX,2005,4,2005-12-31,145.23
10180,"Abilene, TX",TX,2006,1,2006-03-31,150.89
10180,"Abilene, TX",TX,2006,2,2006-06-30,151.56
10180,"Abilene, TX",TX,2006,3,2006-09-30,155.56
10180,"Abilene, TX",TX,2006,4,2006-12-31,157.77
10180,"Abilene, TX",TX,2007,1,2007-03-31,162.42
10180,"Abilene, TX",TX,2007,2,2007-06-30,164.05
10180,"Abilene, TX",TX,2007,3,2007-09-30,163.14
10180,"Abilene, TX",TX,2007,4,2007-12-31,163.62
10180,"Abilene, TX",TX,2008,1,2008-03-31,165.61
10180,"Abilene, TX",TX,2008,2,2008-06-30,164.99
10180,"Abilene, TX",TX,2008,3,2008-09-30,166.16
10180,"Abilene, TX",TX,2008,4,2008-12-31,169.46
10180,"Abilene, TX",TX,2009,1,2009-03-31,170.52
10180,"Abilene, TX",TX,2009,2,2009-06-30,169.89
10180,"Abilene, TX",TX,2009,3,2009-09-30,170.25
10180,"Abilene, TX",TX,2009,4,2009-12-31,170.1
10180,"Abilene, TX",TX,2010,1,2010-03-31,170.89
10180,"Abilene, TX",TX,2010,2,2010-06-30,169.1
10180,"Abilene, TX",TX,2010,3,2010-09-30,171.22
10180,"Abilene, TX",TX,2010,4,2010-12-31,170.27
10180,"Abilene, TX",TX,2011,1,2011-03-31,168.6
10180,"Abilene, TX",TX,2011,2,2011-06-30,167.59
10180,"Abilene, TX",TX,2011,3,2011-09-30,169.46
10180,"Abilene, TX",TX,2011,4,2011-12-31,167.85
10180,"Abilene, TX",TX,2012,1,2012-03-31,168.7
10180,"Abilene, TX",TX,2012,2,2012-06-30,170.47
10180,"Abilene, TX",TX,2012,3,2012-09-30,174.27
10180,"Abilene, TX",TX,2012,4,2012-12-31,171.02
10180,"Abilene, TX",TX,2013,1,2013-03-31,173.4
10180,"Abilene, TX",TX,2013,2,2013-06-30,174.15
10180,"Abilene, TX",TX,2013,3,2013-09-30,178.8
10180,"Abilene, TX",TX,2013,4,2013-12-31,182.55
10180,"Abilene, TX",TX,2014,1,2014-03-31,183.13
10180,"Abilene, TX",TX,2014,2,2014-06-30,186
10180,"Abilene, TX",TX,2014,3,2014-09-30,188.57
10180,"Abilene, TX",TX,2014,4,2014-12-31,189.8
10180,"Abilene, TX",TX,2015,1,2015-03-31,185.48
10180,"Abilene, TX",TX,2015,2,2015-06-30,190.81
10180,"Abilene, TX",TX,2015,3,2015-09-30,194.29
10180,"Abilene, TX",TX,2015,4,2015-12-31,196.14
10180,"Abilene, TX",TX,2016,1,2016-03-31,196.51
10180,"Abilene, TX",TX,2016,2,2016-06-30,198.48
10180,"Abilene, TX",TX,2016,3,2016-09-30,201.95
10180,"Abilene, TX",TX,2016,4,2016-12-31,205.01
10180,"Abilene, TX",TX,2017,1,2017-03-31,200.87
10180,"Abilene, TX",TX,2017,2,2017-06-30,208.22
10180,"Abilene, TX",TX,2017,3,2017-09-30,211.85
10180,"Abilene, TX",TX,2017,4,2017-12-31,209.97
10180,"Abilene, TX",TX,2018,1,2018-03-31,210.06
10180,"Abilene, TX",TX,2018,2,2018-06-30,220.64
10180,"Abilene, TX",TX,2018,3,2018-09-30,217.57
10180,"Abilene, TX",TX,2018,4,2018-12-31,224.72
10180,"Abilene, TX",TX,2019,1,2019-03-31,219.63
10180,"Abilene, TX",TX,2019,2,2019-06-30,225.64
10180,"Abilene, TX",TX,2019,3,2019-09-30,227.77
10180,"Abilene, TX",TX,2019,4,2019-12-31,230.08
10180,"Abilene, TX",TX,2020,1,2020-03-31,230.5
10180,"Abilene, TX",TX,2020,2,2020-06-30,233.17
10180,"Abilene, TX",TX,2020,3,2020-09-30,238.03
10180,"Abilene, TX",TX,2020,4,2020-12-31,241.53
10180,"Abilene, TX",TX,2021,1,2021-03-31,242.74
10180,"Abilene, TX",TX,2021,2,2021-06-30,260.83
10180,"Abilene, TX",TX,2021,3,2021-09-30,274.07
10180,"Abilene, TX",TX,2021,4,2021-12-31,287.26
10180,"Abilene, TX",TX,2022,1,2022-03-31,290.06
10180,"Abilene, TX",TX,2022,2,2022-06-30,306.03
10180,"Abilene, TX",TX,2022,3,2022-09-30,307.31
10180,"Abilene, TX",TX,2022,4,2022-12-31,297.52
10180,"Abilene, TX",TX,2023,1,2023-03-31,320.79
10180,"Abilene, TX",TX,2023,2,2023-06-30,319.53
10180,"Abilene, TX",TX,2023,3,2023-09-30,324.92
10180,"Abilene, TX",TX,2023,4,2023-12-31,342.93
10180,"Abilene, TX",TX,2024,1,2024-03-31,322.99
10180,"Abilene, TX",TX,2024,2,2024-06-30,338.61
10180,"Abilene, TX",TX,2024,3,2024-09-30,335.05
10180,"Abilene, TX",TX,2024,4,2024-12-31,348.58
10180,"Abilene, TX",TX,2025,1,2025-03-31,338.42
10180,"Abilene, TX",TX,2025,2,2025-06-30,354.62
10180,"Abilene, TX",TX,2025,3,2025-09-30,343.73
10420,"Akron, OH",OH,2000,1,2000-03-31,124.1
10420,"Akron, OH",OH,2000,2,2000-06-30,125.84
10420,"Akron, OH",OH,2000,3,2000-09-30,127.96
10420,"Akron, OH",OH,2000,4,2000-12-31,129.36
10420,"Akron, OH",OH,2001,1,2001-03-31,132.11
10420,"Akron, OH",OH,2001,2,2001-06-30,133.34
10420,"Akron, OH",OH,2001,3,2001-09-30,134.41
10420,"Akron, OH",OH,2001,4,2001-12-31,136.28
10420,"Akron, OH",OH,2002,1,2002-03-31,136.74
10420,"Akron, OH",OH,2002,2,2002-06-30,136.99
10420,"Akron, OH",OH,2002,3,2002-09-30,138.75
10420,"Akron, OH",OH,2002,4,2002-12-31,139.8
10420,"Akron, OH",OH,2003,1,2003-03-31,140.7
10420,"Akron, OH",OH,2003,2,2003-06-30,141.55
10420,"Akron, OH",OH,2003,3,2003-09-30,142.94
10420,"Akron, OH",OH,2003,4,2003-12-31,143.19
10420,"Akron, OH",OH,2004,1,2004-03-31,144.46
10420,"Akron, OH",OH,2004,2,2004-06-30,145.38
10420,"Akron, OH",OH,2004,3,2004-09-30,146.1
10420,"Akron, OH",OH,2004,4,2004-12-31,147.48
